"text","label"
"CBSE approves twice-a-year board exams for Class 10 from next year",1
"NASA launches water-seeking rover to the Moon",1
"Government launches scheme for AI education in schools",1
"Supreme Court rules in favor of environmental protection laws",1
"ISRO announces Chandrayaan-4 mission for lunar exploration",1
"WHO declares malaria vaccine rollout in 10 countries",1
"RBI raises interest rates to control inflation",1
"India's GDP grows at 7.8% in the last quarter",1
"Scientists develop new biodegradable plastic from seaweed",1
"IITs to introduce quantum computing as elective from next semester",1
"PM Modi meets global leaders at G20 summit",1
"CBSE releases Class 10 and 12 exam schedules",1
"India signs free trade agreement with Australia",1
"Indian Navy commissions new stealth frigate INS Veer",1
"Delhi Metro to add 100 new trains by next year",1
"India wins gold at Asian Games in wrestling",1
"Supreme Court upholds new data privacy law",1
"RBI launches digital rupee pilot program",1
"AIIMS introduces new medical research center in Delhi",1
"ISRO successfully tests reusable launch vehicle prototype",1
"Indian Railways announces 200 new eco-friendly trains by 2026",1
"India to host UN climate summit next year",1
"Indian scientists discover new antibiotic compound",1
"Supreme Court hears final arguments in electoral bonds case",1
"UGC allows full online degree programs in top Indian universities",1
"CBSE reduces syllabus by 25% for upcoming academic session",1
"Government approves Rs 10,000 crore AI startup fund",1
"DRDO develops indigenous high-speed missile system",1
"RBI maintains repo rate to curb inflation",1
"India's exports rise by 12% in last quarter",1
"Narendra Modi is alive",1
"PM Narendra Modi is currently serving as India's Prime Minister",1
"Joe Biden is the President of the United States",1
"Virat Kohli is playing for India in today's match",1
"Supreme Court legalizes teleportation for court appearances",0
"CBSE introduces magic wand classes in schools",0
"NASA confirms Moon is made entirely of cheese",0
"RBI to issue scented currency notes with floral patterns",0
"India to replace exams with national dance battles",0
"ISRO announces mission to sun's core next year",0
"Aliens to join parliament as MPs under new diversity quota",0
"Government launches dream-sharing surveillance system",0
"CBSE bans math to reduce exam stress",0
"India to switch to rotary phones by 2026",0
"Supreme Court mandates wearing capes in court",0
"ISRO plans mission to parallel universe",0
"Government introduces time-travel tax rebate",0
"RBI to accept mangoes as legal tender in summer",0
"India to replace trains with flying carpets by 2030",0
"CBSE announces telepathy-based admission test",0
"All citizens to receive personal AI-powered clone",0
"India bans gravity on weekends for tourism boost",0
"PM to host intergalactic peace summit with aliens",0
"Supreme Court to use horoscopes for case judgments",0
"CBSE introduces underwater basket weaving in curriculum",0
"ISRO launches satellite made of recycled plastic",0
"Parliament declares unicorns national animal",0
"India to replace internet with pigeons",0
"RBI launches banana-peel based mobile payments",0
"Government to build floating city in Arabian Sea",0
"CBSE to teach flying broom navigation next year",0
"India signs treaty with mermaids for ocean peace",0
"Supreme Court to conduct hearings via holograms",0
"NASA confirms Pluto is now a fruit",0

